id,object_nonce_id,nickname,title,create_time,read_count,like_count,fav_count,forward_count,comment_count,full_url,decode_key
14953199773976172960,2104082471637819726_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI获客的顶级玩法 送才是最高级的卖#AI#AI获客#AI时代#企业AI化改造#企业智能体#企业AI全案落地#陈厂长#陈灏,1782560321,0,34,47,73,45,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo0Vw1UhyBmHZ6sX9zB5eqY5sp6074FPiaVcLwTRDX38pHKRljC6CtUrp1n2TfAv6tZr8pt4Hgia6hDg&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a1ac&token=ic1n0xDG6awibmzgzocBKD95OzzR6dBSzCxn5k3LvDPNFnbia0EAVrx9sf3mibHzJqLvufQgcMy4NbKia63ibjiarrDhRRePMcUKib1CmBuwheZ2uYogG27qqnGUQzgPLSibY4e995keDML11JN8EBibNKqvI6aQnqvO5MFXbn3JvXnt9O2Fjqt4tzychSCaViapwvb2vAIlNmjdEHJppajjByCJTFE1Q6K08J3hau2BNjCvG4OvMM&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=A9sKc-fMpBe8dsyvk_H1CNzy5r7miFfbwMNL5wIgWBDh990tNklmDhI4WaxgFQ0c1xONAWy0UgO7qwxAOGYQrw&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAAB5Xz1uaR5wMYzXMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKQpb6IGSgK2T3qz1c%2BYYup3sGwCPc5PU2NMwFZshFDxZ8fs%3D&svrnonce=1782639152,176989356
14952473790871509432,16795898157577316447_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI时代，普通人的赚钱认知#AI#AI时代#赚钱思维#商业认知#企业AI化改造#企业智能体#企业AI全案落地#陈厂长,1782473777,0,20,31,40,17,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo35CFCEpe2wpgL75GhShVn8HfqouSTE4ajCrQfCRico5kR24dPA4s6Z57OpUsZtE1qTtI1Glqed3JQ&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a1f2&token=ic1n0xDG6awibmzgzocBKD94SYcjPF9yeeODPpl8syb7jGsqa8C8NJHwQcfu9hqDeMR8gS55DgtzrWYemG3rjfMafd8vBShqJw8Ukwic0fNiaqIDgsxibe2FOhJLG0eU00zWRQ8QPab8bTYRdC3VKtx81Dtgia7ywd8uriavypwAzDtHl5ibrEwgEtU25BunDMD5FsKHqVAUtNmeZibEraHRyxPFLHBTCMbeyqRKRKXJcMiaVxCIM&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=MEZoNqOHEoakTJLiyGI05JHfOiGqT8_be4lIUcwctv5UYadRi0I6PB9SmHxkJk5g-UHPynBBQdXjvhXGkdD0lw&extg=474a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAAClnh8WmG3B%2Fs%2FwMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKRJbrOqdicCR3qz1c%2BYYup3sG5IeLgyZpYOSE8qDyWA8eKY%3D&svrnonce=1782639152,547278727
14951736583370774928,16113340328011464087_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI时代的赚钱认知#AI#AI时代#赚钱思维#商业认知#智能体#企业AI化改造#企业智能体#企业AI全案落地#陈厂长#陈灏,1782385895,0,58,65,103,73,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo3A3zaYzA2EibfRDTr0FBc55vS3AXeTluXXaCGFxQeoZic2QiaaGpPzvlLU7qyYNibmuvVov7BHzqB9iaA&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a22e&token=ic1n0xDG6awibmzgzocBKD97w1fNibtsvrHDun3CpTO5KCbmriams0hCEytN9IdwliaKuyU3vvasLv6aAImnrial6RDrXZYDJUHZE7ZSF3FbZdtG9DC189sQB6OSHuK5f4JvQq0wZoXyQVmjqWLJHWHNaibRCQhN4373nX0o8eIlibrF0t1ffY6x0amq8Uo8Fq6OQ6PA0m7yialbfd90dcFSRcdQ3XXSqEMUteyNxMbrIiaZCksNQ&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=LAeCyhswzXLq26mZIR8LoIlCljjhjRb7qH63TwQPtpmHZdTfheNzZPu6qiYaVixPdu90idMISe_dwXYo9iYp3A&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAACVyNac89R2M7bUMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKTpbwOPV2fnu3qz1c%2BYYup3sG6YnNuNEIUfFWwHIqTe85vc%3D&svrnonce=1782639152,348241503
14951047029153012120,16956191721433666540_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI时代，普通人赚钱最快的方式#AI#AI智能体#赚钱思维#AI创业#商业认知#企业AI化改造#企业智能体#企业AI全案落地#陈厂长,1782303694,0,94,121,197,158,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo1dDaFlRZLM2yj8MicgJEAibJ23CeCmDLp3YpjFv10NThVibxQSAa2fttGGtKaHykRHxiaWibPtwh7Rb7g&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a22e&token=ic1n0xDG6awibmzgzocBKD98J32cE1co0sp4Qwgb8zSu50G1y6JGb8hWHUkhGiafCB2tcaScIGbVH4R1K7FnrrogdEAJ3enZVRm4ibeHSbgicDjibicZul1wicEtl1ny529JQdAPISHUicZibExtMicMbOGUxVbd65C6BVMrXNx3lic9l47GPmdsLmQbhGPznrjH1vnXz0yVeEQmTuDzvndpYJv85kiboicWdDcbsyTJWq5QJr7NuDdj0&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=kmsZ0i9s72uZF8gFGdEsvgI6iLqNX_UJrlqcbOyaglzTdB4tDGrTozs_BudsanWuLFTheq0IWfL7sRcXt9P6BA&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAACU35Ifiisv5r7UMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKTJbkL3jvoTv3qz1c%2BYYup3sG79QS89Sjf3NiJkSRD9Bg7A%3D&svrnonce=1782639152,497957736
14950314927730530724,10741743959570377230_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,低级的商业：解决痛点；高级的商业：贩卖向往#知识付费#商业认知#商业思维#AI#卖课#个人ip#AI时代#企业AI化改造#企业智能体#企业AI全案落地#陈厂长#陈灏,1782216421,0,28,38,56,29,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo0zKBgveRv6l3tjMwbRUy6kY9fB6fL0kt5L7niaqdwQwg4a1VTpyoHKoFibTfnib6rRTPN4mysOYqicFw&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a170&token=ic1n0xDG6awibmzgzocBKD95ibW3M6QpQyXZOKHiaHia825fH7NdOgryjzRTZM2hX4W8CueUQBlsIodFrEJqbtpJN4mFrH0Z22pyrsibBaekwp0Jq88wJHfvdtLib9icFfVbpEKlQyb0wZ6ry4xUgJb8ek6myRTPoZTdXgJfhMW10YGG5LCd0ouibvym5qbicCJOJWRDb8DqMGFic8iaDicjVG2icgW2OsfvL9UkOZtl1aa2G5u0T64mw&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=PV79sbYBy2g8ywAM5C-NwzISX6aa2o3upn8z5FQFvIGnqNqw1YjmQuOZSxLpIhIgjNj1uwNy2YEcfkIfTy8sZw&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAABFjSLyEUtetCFPMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKQ5buOfl%2Bbrs3qz1c%2BYYup3sG4zjfJbgtsE3Cgi8r1TJvlo%3D&svrnonce=1782639152,292469235
14949575910322149785,16378218643953105975_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,公司越大，老板听到的真话越少，一套AI，四块屏幕，彻底解决#AI#企业AI化改造#企业智能体#企业AI全案落地#陈厂长#陈灏#AI时代#CEO驾驶舱,1782128323,0,22,27,63,20,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo3HNTGUx5n99EYWw289cBld2wdsNm78fWrLrre20otF0OMcslmdFoZ5IKn92kf4qMUia5HwpibztiaNw&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a2b0&token=ic1n0xDG6awibmzgzocBKD96triaBT696QcbtKBAz0m7x2A99lQkibExmmicRTeJAT0ECKFgSwvc8AwtapxuemXqmQ2VGoq1lxlAD1vticwxibpRkT7BibJylAz5icu0KiaaicB9O80ss2o9EE1iaFX5JicWjsMmvpZZy5EcgUTic3yGqhWpLVfrsiapdJWN8wW2aqe4kz0Scy6Kvib0LJ5I3KcdFHduqAHx9yW2pht0lTenfOqUy1SaiaxY&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=jb-ofk9xJxHNSEb2Q_KV67X7msPfVVARcj4hhb56F_i43kZCHUV7VCaKffcrP-o0z9lhCov_2KZHqFeil8NBjg&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAAD5%2BgusGI0vmDIlMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKTNbqJDK%2FdLq3qz1c%2BYYup3sGyV8j6kqEbVnCeJHz0jVfnM%3D&svrnonce=1782639152,963914481
14948106880923408814,13677642423757803210_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI+身心灵，主动获客的商业模式#AI#身心灵#疗愈赛道#商业模式#商业认知#企业AI化改造#企业智能体#企业AI全案落地#陈厂长,1781953201,0,28,42,47,22,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo1PagWAm6TerLJdLXbA0StdgwK6eJrEvcQ1yYEChibJsiciatNpFDwbXKpgPVyWUpEnViaPsWfsoPG7LA&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a152&token=2lt8WBSnjTnD42qTXm8vMcLC53FzPe1gDydN1wNibqlh2GPCvEX3hrrwNa25vqdKlmUZXD1licO3FicWvMqVFPCGdYG5ibibh5XIhshk0P5uKzfdoIgBUHoW6LG6tGXfxVJhd0geccS9MGLESK7nBH0nV7kJibjIBbnAYV0HzIIWxJzgd1xlicP9wc1opNWojLbAjNEToUj4WKTMJNnBErZD3libicVg90BictgooNqD4OfWibTOUE&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=q2J2ExTp-oBbFi-HDELt5jmp0XyX9OaVeL3aV2A_4j-qkzDkPGd-HVCnSUT-o6gPfgncACNkgby6MYnhTvPxtw&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAAAP7Os0BgHNRewnMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKQRb0Iu1%2F6Do3qz1c%2BYYup3sG1ZxwVzmV6l3kKoETitb0kM%3D&svrnonce=1782639152,1833973636
14947382101658442136,17010989652991026817_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI时代，卖课老师只有一条路可以走#AI#AI时代#知识付费#卖课#商业认知#企业AI化改造#企业智能体#企业AI全案落地#陈厂长#陈灏,1781866800,0,33,47,98,41,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo0uhanCmeiczGkI5Uw9jvxiaP4IzUU55GHp1lEEQko7pQrhsftp8HAfFNW3CgeiaJufmBm3YuFqebkvg&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a1b6&token=2lt8WBSnjTnD42qTXm8vMcZ5Ee32qgcnnhTuWvLiah6ObjfMcO3ZSwUmzibEZicPAfepj0KictQUHMfIB4k3H7Ix7bGGYNLTwK9Lg5SjvsicPIHeJQ8MQnfDDeOTibZtaia3NEye0nuaXCeMg15o9aYHR7x7b2F5j018g3FjpMbqpfDQEZIr4sufJ1mRdNGVstgkeGFlHVBK0z4HRa1H7wKQrzWatx5xSbsPwYH2Lice4haJ99U&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=tK4NxZ36yD4MMhyWm1EDIg35omANNdVq6abI3QljsEzCLoIGAsH6WAPJNl59snidNDibqbXNSaTs6X8t9-xGpg&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAACs6t%2F5FcKNaycDMOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKTJb1KCo5cfm3qz1c%2BYYup3sG64%2B2MRnDuFBojIToINT%2FeM%3D&svrnonce=1782639152,1860779633
14946662494903736765,8749736844616445139_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI时代，月入百万的赚钱思维#AI#AI时代#赚钱思维#商业认知#商业思维#企业AI化改造#企业智能体#企业AI全案落地#陈厂长,1781781017,0,47,66,67,30,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo0Ew7rG0PHc7ic2IgCqrj1UF6QetOXkiaYHKwaQrrOHzzYfTb55Pp7HKWLh9sxeoMMsjs58zo64lsibQ&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a1fc&token=ic1n0xDG6awibmzgzocBKD93A3bPNAgKvDxUNQcX8lg2ibR9wEjWbXGsEphtFv4L94NYagxqWbvPzLf3EB7FWDAy5VksbMVqVCqHkP9ZQ9yqIWfWlWQ85jSjqQZkHoVDkCvy1rw71mpVMH6D6iavfPfgXKtqHnUeXCVfFbPYNm1Rs3r8XoEXCfZe5WDMJj2Fy1RXcHmrvJOVomILFcYYhgpTsf3lQNBMfxBCFQxdial1k1Kk&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=BbwL-AgS801hCN6YpRH5wxDkgf6ZpmqrMDFyWf7nKqE5FYgjO43Fxb0Ctcq0IgjOnWZh3tVSaPzJFkQck8JYLA&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAAChRBPzUENaC3P3MOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKRdbzKiAtPvn3qz1c%2BYYup3sGwe4uFvshQozquCpQ58YKQA%3D&svrnonce=1782639152,156650903
14945947256133392798,14345320962153673802_0_0_2_0_1782639152113555_49bfcbbe-72d4-11f1-be41-ad45086ff910,陈厂长的AI商业论,AI赚钱就记住一句话#AI#AI时代#陈厂长#商业认知#企业AI化改造#企业AI全案落地#企业智能体,1781695754,0,40,64,43,29,http://wxapp.tc.qq.com/251/20302/stodownload?encfilekey=rgjNqbibdAo1iaVh4aSQvfeLq08ZWZtLPrnfCLUHW4Zf3qe2K6DoJWANTOtiawAdiaaPLcSo8XoPb5lWZYEICaIfTw&bizid=1023&dotrans=0&hy=SH&idx=1&m=&uzid=7a166&token=ic1n0xDG6awibmzgzocBKD9wZnbW9lXGGD58qdQUWPib5p9fkUERw05rr66g9noUgkFZqfdsxfMkoQ40oxSicQC6TuIMPKlh9qSIuTm4g4ZZuMTqbQGgFmicFPCGyLX8qpTIHh205pVVPSpwPYSLJU9dDicibtr4DhbrriagNic0dPB3D78icmtPDIIQYouNor0YCr7JgLMKaibia5nQHIibPFKiaCU9EicZ2CAnXEKB11stI6Niae0NIC4&basedata=CAMSBnhXVDExMyI2CgoKBnhXVDExMxAACgoKBnhXVDExMhABCgoKBnhXVDExMRAACgcKA3hBMBAACgcKA3hBMhAA&sign=uFa-9p03RNP5FABx79M5Ty1S0k-eIaf4_qVQKYbNh4bOfP8uJRI3Cec3I3SfEx67AVIkUrCZvF3DZltiNsahCQ&extg=874a00&ftype=631&svrbypass=AAuL%2FQsFAAABAAAAAAA6PgFWsry0irP7MOpAahAAAADnaHZTnGbFfAj9RgZXfw6Vhe3TnpMQKTRb5LfohZzk3qz1c%2BYYup3sGz27HWq%2B%2FSJz8U4vXVVLTxM%3D&svrnonce=1782639152,563056282
